Date,Open,High,Low,Close,Day_Name,Direction,Raw_Points,Points_Display
2016-05-04,1.4543,1.4572,1.4458,1.4499,Wednesday,DOWN,-0.0044,-0.0441
2016-05-05,1.4499,1.4529,1.4441,1.4487,Thursday,DOWN,-0.0012,-0.0123
2016-05-06,1.4487,1.4541,1.4412,1.4424,Friday,DOWN,-0.0064,-0.0639
2016-05-09,1.4429,1.4479,1.4376,1.4410,Monday,DOWN,-0.0019,-0.0193
2016-05-10,1.4410,1.4478,1.4384,1.4447,Tuesday,UP,0.0037,0.0367
2016-05-11,1.4447,1.4488,1.4392,1.4438,Wednesday,DOWN,-0.0009,-0.0088
2016-05-12,1.4438,1.4531,1.4404,1.4448,Thursday,UP,0.0010,0.0095
2016-05-13,1.4448,1.4452,1.4337,1.4363,Friday,DOWN,-0.0085,-0.0847
2016-05-16,1.4351,1.4415,1.4330,1.4411,Monday,UP,0.0059,0.0592
2016-05-17,1.4410,1.4524,1.4409,1.4456,Tuesday,UP,0.0046,0.0458
2016-05-18,1.4456,1.4634,1.4399,1.4600,Wednesday,UP,0.0144,0.1443
2016-05-19,1.4600,1.4663,1.4560,1.4605,Thursday,UP,0.0005,0.0048
2016-05-20,1.4605,1.4613,1.4484,1.4503,Friday,DOWN,-0.0102,-0.1024
2016-05-23,1.4497,1.4549,1.4440,1.4482,Monday,DOWN,-0.0015,-0.0154
2016-05-24,1.4482,1.4642,1.4475,1.4620,Tuesday,UP,0.0138,0.1376
2016-05-25,1.4620,1.4729,1.4601,1.4698,Wednesday,UP,0.0078,0.0785
2016-05-26,1.4699,1.4740,1.4637,1.4665,Thursday,DOWN,-0.0035,-0.0346
2016-05-27,1.4665,1.4689,1.4601,1.4621,Friday,DOWN,-0.0044,-0.0438
2016-05-30,1.4615,1.4642,1.4584,1.4628,Monday,UP,0.0013,0.0131
2016-05-31,1.4628,1.4725,1.4463,1.4492,Tuesday,DOWN,-0.0136,-0.1357
2016-06-01,1.4492,1.4507,1.4384,1.4413,Wednesday,DOWN,-0.0079,-0.0785
2016-06-02,1.4413,1.4473,1.4407,1.4412,Thursday,DOWN,-0.0001,-0.0013
2016-06-03,1.4412,1.4582,1.4397,1.4512,Friday,UP,0.0100,0.0997
2016-06-06,1.4463,1.4474,1.4351,1.4455,Monday,DOWN,-0.0009,-0.0087
2016-06-07,1.4454,1.4660,1.4449,1.4538,Tuesday,UP,0.0084,0.0839
2016-06-08,1.4538,1.4601,1.4497,1.4510,Wednesday,DOWN,-0.0029,-0.0285
2016-06-09,1.4510,1.4527,1.4443,1.4462,Thursday,DOWN,-0.0048,-0.0480
2016-06-10,1.4463,1.4473,1.4179,1.4251,Friday,DOWN,-0.0212,-0.2119
2016-06-13,1.4225,1.4323,1.4113,1.4197,Monday,DOWN,-0.0029,-0.0286
2016-06-14,1.4196,1.4218,1.4090,1.4109,Tuesday,DOWN,-0.0088,-0.0875
2016-06-15,1.4109,1.4218,1.4104,1.4196,Wednesday,UP,0.0087,0.0869
2016-06-16,1.4196,1.4254,1.4010,1.4210,Thursday,UP,0.0014,0.0141
2016-06-17,1.4210,1.4388,1.4207,1.4357,Friday,UP,0.0146,0.1464
2016-06-20,1.4484,1.4719,1.4472,1.4673,Monday,UP,0.0189,0.1885
2016-06-21,1.4673,1.4782,1.4613,1.4662,Tuesday,DOWN,-0.0011,-0.0111
2016-06-22,1.4662,1.4844,1.4639,1.4794,Wednesday,UP,0.0131,0.1315
2016-06-23,1.4793,1.5019,1.4726,1.4879,Thursday,UP,0.0086,0.0857
2016-06-24,1.4880,1.4883,1.3226,1.3675,Friday,DOWN,-0.1205,-1.2051
2016-06-27,1.3464,1.3474,1.3119,1.3221,Monday,DOWN,-0.0243,-0.2425
