Date,Open,High,Low,Close,Day_Name,Direction,Raw_Points,Points_Display
2011-02-07,1.3559,1.3628,1.3508,1.3586,Monday,UP,0.0027,0.0270
2011-02-08,1.3584,1.3690,1.3571,1.3633,Tuesday,UP,0.0049,0.0490
2011-02-09,1.3629,1.3745,1.3607,1.3730,Wednesday,UP,0.0101,0.1010
2011-02-10,1.3731,1.3738,1.3577,1.3593,Thursday,DOWN,-0.0138,-0.1380
2011-02-11,1.3596,1.3623,1.3497,1.3546,Friday,DOWN,-0.0050,-0.0500
2011-02-14,1.3509,1.3561,1.3428,1.3483,Monday,DOWN,-0.0026,-0.0260
2011-02-15,1.3487,1.3554,1.3460,1.3489,Tuesday,UP,0.0002,0.0020
2011-02-16,1.3485,1.3591,1.3461,1.3566,Wednesday,UP,0.0081,0.0810
2011-02-17,1.3569,1.3621,1.3535,1.3601,Thursday,UP,0.0032,0.0320
2011-02-18,1.3607,1.3716,1.3546,1.3694,Friday,UP,0.0087,0.0870
2011-02-21,1.3703,1.3719,1.3646,1.3675,Monday,DOWN,-0.0028,-0.0280
2011-02-22,1.3678,1.3705,1.3526,1.3653,Tuesday,DOWN,-0.0025,-0.0250
2011-02-23,1.3657,1.3789,1.3647,1.3746,Wednesday,UP,0.0089,0.0890
2011-02-24,1.3747,1.3822,1.3703,1.3803,Thursday,UP,0.0056,0.0560
2011-02-25,1.3801,1.3839,1.3723,1.3750,Friday,DOWN,-0.0051,-0.0510
2011-02-28,1.3758,1.3856,1.3710,1.3801,Monday,UP,0.0043,0.0430
2011-03-01,1.3801,1.3856,1.3762,1.3775,Tuesday,DOWN,-0.0026,-0.0260
2011-03-02,1.3773,1.3891,1.3743,1.3863,Wednesday,UP,0.0090,0.0900
2011-03-03,1.3865,1.3973,1.3832,1.3963,Thursday,UP,0.0098,0.0980
2011-03-04,1.3963,1.4008,1.3937,1.3982,Friday,UP,0.0019,0.0190
2011-03-07,1.3991,1.4038,1.3952,1.3972,Monday,DOWN,-0.0019,-0.0190
2011-03-08,1.3975,1.3994,1.3862,1.3903,Tuesday,DOWN,-0.0072,-0.0720
2011-03-09,1.3902,1.3944,1.3855,1.3907,Wednesday,UP,0.0005,0.0050
2011-03-10,1.3905,1.3927,1.3775,1.3792,Thursday,DOWN,-0.0113,-0.1130
2011-03-11,1.3793,1.3916,1.3752,1.3907,Friday,UP,0.0114,0.1140
2011-03-14,1.3964,1.4005,1.3904,1.3990,Monday,UP,0.0026,0.0260
2011-03-15,1.3990,1.4015,1.3853,1.3996,Tuesday,UP,0.0006,0.0060
2011-03-16,1.3997,1.4003,1.3866,1.3901,Wednesday,DOWN,-0.0096,-0.0960
2011-03-17,1.3904,1.4054,1.3869,1.4022,Thursday,UP,0.0118,0.1180
2011-03-18,1.4020,1.4187,1.3980,1.4176,Friday,UP,0.0156,0.1560
2011-03-21,1.4190,1.4242,1.4138,1.4226,Monday,UP,0.0036,0.0360
2011-03-22,1.4225,1.4251,1.4174,1.4201,Tuesday,DOWN,-0.0024,-0.0240
2011-03-23,1.4197,1.4217,1.4078,1.4082,Wednesday,DOWN,-0.0115,-0.1150
2011-03-24,1.4089,1.4221,1.4051,1.4173,Thursday,UP,0.0084,0.0840
2011-03-25,1.4173,1.4195,1.4054,1.4081,Friday,DOWN,-0.0092,-0.0920
2011-03-28,1.4044,1.4117,1.4021,1.4084,Monday,UP,0.0040,0.0400
2011-03-29,1.4084,1.4151,1.4047,1.4109,Tuesday,UP,0.0025,0.0250
2011-03-30,1.4112,1.4149,1.4051,1.4125,Wednesday,UP,0.0013,0.0130
2011-03-31,1.4129,1.4234,1.4115,1.4165,Thursday,UP,0.0036,0.0360
2011-04-01,1.4166,1.4247,1.4061,1.4228,Friday,UP,0.0062,0.0620
