Date,Open,High,Low,Close,Day_Name,Direction,Raw_Points,Points_Display
2008-02-12,1.1020,1.1046,1.0980,1.1016,Tuesday,DOWN,-0.0004,-0.0040
2008-02-13,1.1020,1.1107,1.1010,1.1084,Wednesday,UP,0.0064,0.0640
2008-02-14,1.1085,1.1098,1.0964,1.0977,Thursday,DOWN,-0.0108,-0.1080
2008-02-15,1.0980,1.0988,1.0886,1.0928,Friday,DOWN,-0.0052,-0.0520
2008-02-18,1.0935,1.1048,1.0932,1.1021,Monday,UP,0.0086,0.0860
2008-02-19,1.1021,1.1026,1.0909,1.0941,Tuesday,DOWN,-0.0080,-0.0800
2008-02-20,1.0944,1.1026,1.0936,1.0997,Wednesday,UP,0.0053,0.0530
2008-02-21,1.0999,1.1033,1.0865,1.0895,Thursday,DOWN,-0.0104,-0.1040
2008-02-22,1.0899,1.0919,1.0833,1.0848,Friday,DOWN,-0.0051,-0.0510
2008-02-25,1.0852,1.0930,1.0852,1.0894,Monday,UP,0.0042,0.0420
2008-02-26,1.0893,1.0919,1.0751,1.0752,Tuesday,DOWN,-0.0141,-0.1410
2008-02-27,1.0756,1.0764,1.0611,1.0627,Wednesday,DOWN,-0.0129,-0.1290
2008-02-28,1.0622,1.0644,1.0484,1.0496,Thursday,DOWN,-0.0126,-0.1260
2008-02-29,1.0505,1.0528,1.0409,1.0410,Friday,DOWN,-0.0095,-0.0950
2008-03-03,1.0407,1.0457,1.0307,1.0418,Monday,UP,0.0011,0.0110
2008-03-04,1.0421,1.0432,1.0336,1.0380,Tuesday,DOWN,-0.0041,-0.0410
2008-03-05,1.0380,1.0429,1.0335,1.0362,Wednesday,DOWN,-0.0018,-0.0180
2008-03-06,1.0366,1.0383,1.0215,1.0232,Thursday,DOWN,-0.0134,-0.1340
2008-03-07,1.0224,1.0286,1.0135,1.0255,Friday,UP,0.0031,0.0310
2008-03-10,1.0236,1.0258,1.0172,1.0197,Monday,DOWN,-0.0039,-0.0390
2008-03-11,1.0195,1.0349,1.0148,1.0333,Tuesday,UP,0.0138,0.1380
2008-03-12,1.0335,1.0354,1.0131,1.0142,Wednesday,DOWN,-0.0193,-0.1930
2008-03-13,1.0141,1.0169,1.0046,1.0092,Thursday,DOWN,-0.0049,-0.0490
2008-03-14,1.0094,1.0145,0.9975,0.9983,Friday,DOWN,-0.0111,-0.1110
2008-03-17,0.9935,0.9960,0.9656,0.9843,Monday,DOWN,-0.0092,-0.0920
2008-03-18,0.9845,1.0037,0.9786,1.0021,Tuesday,UP,0.0176,0.1760
2008-03-19,1.0031,1.0054,0.9869,0.9966,Wednesday,DOWN,-0.0065,-0.0650
2008-03-20,0.9972,1.0168,0.9954,1.0079,Thursday,UP,0.0107,0.1070
2008-03-21,1.0087,1.0106,1.0051,1.0092,Friday,UP,0.0005,0.0050
2008-03-24,1.0097,1.0252,1.0140,1.0194,Monday,UP,0.0097,0.0970
2008-03-25,1.0197,1.0224,1.0040,1.0061,Tuesday,DOWN,-0.0136,-0.1360
2008-03-26,1.0057,1.0115,0.9882,0.9888,Wednesday,DOWN,-0.0169,-0.1690
2008-03-27,0.9890,0.9989,0.9886,0.9934,Thursday,UP,0.0044,0.0440
2008-03-28,0.9938,0.9998,0.9914,0.9948,Friday,UP,0.0010,0.0100
2008-03-31,0.9935,0.9995,0.9870,0.9934,Monday,DOWN,-0.0001,-0.0010
2008-04-01,0.9939,1.0141,0.9930,1.0124,Tuesday,UP,0.0185,0.1850
2008-04-02,1.0121,1.0166,1.0069,1.0080,Wednesday,DOWN,-0.0041,-0.0410
2008-04-03,1.0086,1.0220,1.0071,1.0100,Thursday,UP,0.0014,0.0140
2008-04-04,1.0101,1.0131,1.0014,1.0060,Friday,DOWN,-0.0041,-0.0410
2008-04-07,1.0059,1.0174,1.0056,1.0128,Monday,UP,0.0069,0.0690
2008-04-08,1.0128,1.0158,1.0067,1.0145,Tuesday,UP,0.0017,0.0170
2008-04-09,1.0143,1.0170,0.9974,1.0010,Wednesday,DOWN,-0.0133,-0.1330
2008-04-10,1.0018,1.0089,0.9888,1.0073,Thursday,UP,0.0055,0.0550
2008-04-11,1.0078,1.0091,0.9966,1.0007,Friday,DOWN,-0.0071,-0.0710
2008-04-14,1.0066,1.0078,0.9926,0.9985,Monday,DOWN,-0.0081,-0.0810
2008-04-15,0.9989,1.0088,0.9957,1.0000,Tuesday,UP,0.0011,0.0110
2008-04-16,1.0065,1.0110,0.9938,0.9997,Wednesday,DOWN,-0.0068,-0.0680
2008-04-17,1.0004,1.0094,0.9959,1.0069,Thursday,UP,0.0065,0.0650
2008-04-18,1.0066,1.0284,1.0038,1.0180,Friday,UP,0.0114,0.1140
2008-04-21,1.0179,1.0202,1.0064,1.0086,Monday,DOWN,-0.0093,-0.0930
2008-04-22,1.0089,1.0133,0.9997,1.0027,Tuesday,DOWN,-0.0062,-0.0620
2008-04-23,1.0029,1.0172,1.0023,1.0152,Wednesday,UP,0.0123,0.1230
2008-04-24,1.0153,1.0386,1.0147,1.0356,Thursday,UP,0.0203,0.2030
2008-04-25,1.0360,1.0431,1.0301,1.0335,Friday,DOWN,-0.0025,-0.0250
2008-04-28,1.0353,1.0370,1.0300,1.0331,Monday,DOWN,-0.0022,-0.0220
2008-04-29,1.0340,1.0399,1.0316,1.0376,Tuesday,UP,0.0036,0.0360
